56  56  56  56  56  56  56  56  56  56  56 331 243   4   4   4   4 322 323 323 323 323 323 331 243   4   4   4   4   4   4 242 329 323 323 323 323 323 324   4   4   4   4   4   4   4   4   1   1   1   1 102  71  71  71  71  71  71 103  76  76  76  76
56  56  56  56  56  56  56  56  56  56  56 330 243   4   4   4   4 242 328 326 326 326 326 330 243   4   4   4   4   4   4 242 328 326 326 326 326 330 243   4   4   4   4   4   4   4   4  76  76  76  76 104  68  68  68  68  68  68 105  76  76   1  76
88  88  88  88  88  88  88  88  91  76   1 242 243   4   4   4   4 242 243   4   4   4   4 242 243   4   4   4   4   4   4 242 243   4   4   4   4 242 243   4   4   4   4   4   4   2   3   2   3   2   3 453  65  65  65  65  65  65 455   1   1   1   1
81  81  81  81  81  81  81  81  89  76   1 242 243   4   4   4   4 242 243   4   4   4   4 242 243   4   4   4   4   4   4 242 243   4   4   4   4 242 243   4   4   4   4   4   4   3   2   3   2   3   2 454 164 164 164 164 164 164 456   1   1  76   1
81  81  81  81  81  81  81  81  89  76   1 242 329 323 323 323 323 331 243   4   4   4   4 242 329 323 323 323 323 323 323 331 243   4   4   4   4 242 243   4   4   4   4   4   4 240 241  76  76  76  76  76   1   1   1   1   1  76  76  76  76  76  76
81  81  81  81  81  81  81  81  89  76   1 325 326 326 326 326 326 326 327   4   4   4   4 325 326 326 326 326 326 326 326 330 243   4   4   4   4 242 243   4   4   4   4   4   4 242 243   1   1   1   1   1   1   1   1   1   1  76  76  76  76  76  76
81  81  81  81  81  81  81  81  89  76   1   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4 242 243   4   4   4   4 242 243   4   4   4   4   4   4 242 243   1   1   1   1   1   1   1   1   1   1  76  76  76  76  76  76
81  81  81  81  81  81  81  81  89  76   1   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4 242 243   4   4   4   4 242 243   4   4   4   4   4   4 242 243   1   1   1   1   1   1   1   1   1   1  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76   1 240 241   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4 242 329 323 323 323 323 331 243   4   4   4   4   4   4 242 243   1   1   1   1   1   1   1   1   1   1  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76   1 242 243   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4 242 328 326 326 326 326 330 243   4   4   4   4   4   4 242 243   1   1   1   1   1   1   1   1   1   1  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76 242 329 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 331 243   4   4   4   4 242 329 323 323 323 323 323 323 331 243   1   1   1   1   1   1   1   1   1   1  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76 325 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 327   4   4   4   4 325 326 326 326 326 326 326 326 326 327   1   1   1   1   1   1   1   1   1   1  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
